epoch,loss,mae,absrel,mse,rmse,imae,irmse,delta1,delta2,delta3,gpu_time,data_time,ause
0,-1.49646257154685,430.10457177450724,0.02472510536167102,3870045.4092346444,1566.415726849015,38.87941819804242,5710.254597157815,98.22820621764603,99.0775663476962,99.37615420210716,0.8019962223914703,0.008095729159249668,
1,-2.199033466063446,278.2161935824349,0.014548640834133902,1555788.2519252487,1203.2095972177178,46.69973962744661,3953.468645280631,99.39434359894051,99.79190175228922,99.90818005740155,0.8018250535560261,0.008806078366654396,
2,-2.3575356179813967,263.11290000800597,0.013360890864842974,1526943.5008462071,1189.6445728447009,59.32836639061499,4906.514285423205,99.46875597380402,99.80913988223672,99.91336234188925,0.8016222773915234,0.008700039198619029,
3,-2.428170670108384,257.3795015150827,0.012998659026668153,1510492.0005318809,1183.4371331295442,33.45322876561909,2828.6917952919503,99.48992914947998,99.81349454040108,99.91379046747106,0.8016560902908941,0.00888155450332195,
4,-2.467748547474116,255.19787246536055,0.012858531078916009,1508145.7017028918,1181.6115702880923,25.318357264750766,1912.0933455062695,99.49517732593726,99.81328994032252,99.91252502467697,0.8002500982150651,0.007179711350140304,
5,-2.5696408252936456,251.74155411867605,0.012589148451189705,1502488.4138840544,1180.1787863648394,6.064157219698505,226.30633241775155,99.49931013070929,99.81266475523744,99.91099969165373,0.8009839745272208,0.008550493105839716,
6,-2.594205385308536,250.69290808909247,0.012512405440450692,1509425.333890923,1182.4335832078204,5.7270645873893935,304.34338840621837,99.50299548656467,99.81271080729952,99.91059361402557,0.800924641413945,0.008514989443537426,
7,-2.6015193467158872,250.11309989249378,0.012485808288241933,1508254.8163614112,1182.019199863156,5.220538166605215,153.50428641133115,99.5042586797452,99.81263178855777,99.91040217304938,0.8004612877037576,0.00782142142571821,
8,-2.6102007932443554,249.51654573996694,0.012452704112491667,1506864.1029804244,1181.6870644307999,9.365593608742602,815.1757475533386,99.50584447575119,99.81285598713315,99.9104585753944,0.8002710962643037,0.00711925241977095,
9,-2.6174590526229213,249.1359754687302,0.012435180218252571,1506717.2915121715,1181.250455561669,7.39510989393571,605.9200266881253,99.5064623430196,99.81280810948054,99.91035605135302,0.8014787949156591,0.008736388314552736,
0,-0.6560806486755609,295.10659942626955,0.3127321645617485,107149.641015625,311.169095754614,570.8206634521484,656.014265469608,23.275575840473174,61.300714111328126,88.577001953125,3.2894527435302736,1.1352270126342774,
0,0.9410880327224731,438.465576171875,0.46426106691360475,201826.15,447.78245558321214,1010.3362915039063,1128.5727632435578,0.025673094391822814,13.145342254638672,64.56017761230468,3.3036601543426514,1.1145767211914062,
1,0.5986219644546509,232.81694641113282,0.2462154746055603,61357.93515625,245.26806416605285,366.75604858398435,405.342438438417,30.342195510864258,90.45410614013672,98.64447174072265,3.302772855758667,0.9542256355285644,
2,0.45593764781951907,111.3892608642578,0.11733809709548951,20477.40859375,142.74706067496706,155.67352600097655,217.30745586512052,84.28461608886718,97.00072326660157,99.93130645751953,3.297089767456055,0.9514832496643066,
3,0.3577787220478058,92.3288818359375,0.09751594662666321,12488.087890625,110.3640544205613,102.08590698242188,129.024152098792,94.5381591796875,99.98186340332032,100.0,3.2976985454559324,0.9730767250061035,
4,0.2251019835472107,138.83147583007812,0.1477056235074997,22800.468359375,150.83736146463679,137.44020385742186,148.84451324897168,94.3733917236328,100.0,100.0,3.2831055164337157,0.9572011947631835,
5,0.12474134787917138,133.85004272460938,0.14195622354745865,21494.262109375,146.38749602071718,134.89512481689454,148.6732999836574,94.51928100585937,100.0,100.0,3.3054529666900634,0.9571515083312988,
6,0.1088668704032898,132.95311584472657,0.14144617915153504,20928.059765625,144.6365797745547,132.92904357910157,144.33553975006936,95.79792175292968,100.0,100.0,3.3232725620269776,0.9761579513549805,
7,0.09262644127011299,125.20460815429688,0.13286781013011933,18988.608203125,137.66796367168496,127.12165222167968,140.81829343195656,96.02986907958984,100.0,100.0,3.290335178375244,0.9835968017578125,
8,0.08053993433713913,120.7783432006836,0.12856679111719133,17703.52421875,133.03495562877416,123.63915405273437,137.04841886134278,96.588671875,100.0,100.0,3.293402576446533,0.9824017524719239,
9,0.0580061174929142,110.68975372314453,0.11730476170778274,15558.3919921875,124.71276532512888,116.30547637939453,134.43636366551058,95.80101165771484,100.0,100.0,3.302749443054199,0.985532569885254,
